,place_state_name
New York,285
Virginia,223
Maryland,198
Massachusetts,143
North Carolina,136
Pennsylvania,118
Vermont,108
Ohio,97
Georgia,86
Tennessee,70
New Jersey,65
Connecticut,62
Alabama,52
Florida,41
Kentucky,35
West Virginia,33
Texas,27
South Carolina,26
Michigan,21
New Hampshire,19
California,19
Illinois,15
Maine,13
Indiana,10
Washington,10
District of Columbia,9
Delaware,9
Rhode Island,9
Missouri,9
Oregon,9
Louisiana,8
Oklahoma,6
Mississippi,5
Arkansas,2
Wisconsin,2
Minnesota,2
Colorado,2
Kansas,1
